#,Designation,Asian white Cement,JK Cement,Emirates Steel Arkan,Union Cement Company
1,Production Manager,"18,000 - 20,000","23,000 - 25,000","25,000 - 30,000","15,000 - 20,000"
2,Shift Incharge/ Process Engineer,"8,000 - 10,000","12,000 - 15,000","13,000 - 15,000","10,000 - 12,000"
3,Raw Materials Supervisor,,,"10,000 - 11,000","8,000 - 10,000"
4,CCR Operator,"5,500 - 6,500","7,000 - 8,500","9,000 - 10,000","6,000 - 8,000"
5,WHR Operator,-,-,-,"6,000 - 8,000"
6,WHR Supervisor,-,-,-,"9,000 - 11,000"
7,Pump House Operator,"2,500 - 3,000","2,500 - 3,000",-,"3,000 - 4,000"
8,Stacker Operator,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
9,Loader Operator,"2,200 - 3,000","3,000 - 3,500",-,"3,000 - 4,000"
10,Palletizer Operator,"2,000 - 2,500","2,000 - 2,500",-,"2,500 - 3,500"
11,Attendant,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
12,Masons,"2,000 - 2,500","2,000 - 2,500",-,"2,500 - 3,500"
13,Heavy Truck Driver,-,"4,000 - 4,500",-,"4,000 - 5,000"
14,Shovel Operator,"3,500 - 4,000","3,500 - 4,000",-,"3,500 - 4,500"
15,Chief Engineer (Mechanical),"18,000 - 20,000","22,000 - 25,000","20,000 - 25,000","22,000 - 28,000"
16,Dy. Chief Engineer (Mechanical),"8,000 - 10,000","12,000 - 15,000","16,000 - 17,000","18,000 - 22,000"
17,Assistant Engineer (Mechanical),"5,000 - 6,000","7,000 - 8,000","13,000 - 15,000","10,000 - 14,000"
18,Planning & Inspection Engineer,"5,000 - 6,000","7,000 - 8,000","18,000 - 20,000","12,000 - 16,000"
19,Mechanic,-,"3,000 - 3,500","5,000 - 6,000","4,000 - 6,000"
20,Diesel Mechanic,"3,500 - 4,000","3,500 - 4,000",-,"4,500 - 6,500"
21,Tyre Mechanic,"2,000 - 2,500","2,000 - 2,500",-,"3,500 - 5,000"
22,Auto Garage Incharge,"6,000 - 7,000","6,000 - 7,000",-,"6,000 - 8,000"
23,Millwright Fitter,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","4,000 - 6,000"
24,Fitter,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,500 - 5,000"
25,MTO,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
26,Welder,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,500 - 5,000"
27,Rigger,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","2,500 - 3,500"
28,Hydra Operator,"2,200 - 3,000","3,000 - 3,500",-,"3,500 - 4,500"
29,Foreman,"5,000 - 6,000","7,000 - 8,000","9,000 - 10,000","6,000 - 8,000"
30,Packing Plant Supervisor,"5,500 - 6,500","7,000 - 9,000",-,"8,000 - 10,000"
