Designation,Num of Designation,Department,Location,Employee Type,Your Salary (AED)
Accountant,1,Production,UAE,Staff,"6,500"
Admin Assistant,1,Admin,UAE,Staff,"3,000"
Assistant Engineer (Production),1,Mechanical,UAE,Staff,"3,813"
Assistant Sales Manager,1,Sales & Logistics,UAE,Staff,"9,500"
Assistant Stores Manager,1,Sales & Logistics,UAE,Staff,"18,413"
Asst. External Relationship Manager,1,External Relationship,UAE,Staff,"21,493"
Asst. Public Relation Officer,1,Admin,UAE,Staff,"11,859"
Asst. Purchase Officer,1,Procurment,UAE,Staff,"5,225"
Asst. Security Manager,1,HSE,UAE,Staff,"14,529"
Attendant,9,Production,UAE,Worker,"1,848"
Auto Garage Incharge,1,Mechanical,UAE,Staff,"7,000"
CCR Operator,5,Production,UAE,Staff,"4,070"
Chemist,1,QC,UAE,Staff,"5,500"
Chief Engineer (Mechanical),1,Mechanical,UAE,Staff,"14,685"
Cook,3,Admin,UAE,Worker,"2,151"
DEPUTY HR MANAGER,1,HR,UAE,Staff,"9,500"
Diesel Mechanic,1,Mechanical,UAE,Worker,"3,000"
Driver,5,Admin,UAE,Worker,"2,907"
Dy. Chief Engineer (Electrical),1,E & I,UAE,Staff,"8,500"
Dy. Chief Engineer (Mechanical),2,Mechanical,UAE,Staff,"9,197"
Electrician,6,E & I,UAE,Worker,"2,302"
Finance Coordinator,1,Finance,UAE,Staff,"6,000"
Financial Accountant,1,Finance,UAE,Staff,"5,155"
Financial Analyst,1,Finance,UAE,Staff,"8,000"
First Aid,1,Admin,UAE,Staff,"5,745"
Fitter,4,Mechanical,UAE,Worker,"3,388"
Foreman,2,Mechanical / Production,UAE,Staff,"3,534"
Forklift Operator,2,Mechanical,UAE,Worker,"2,116"
Gardener,1,Admin,UAE,Worker,"2,000"
General Helper,1,Admin,UAE,Worker,"1,800"
Head Of Finance,1,Finance,UAE,Staff,"25,000"
Heavy Truck Driver,3,Sales & Logistics,UAE,Worker,"2,844"
House Keeping Attendant,5,Admin,UAE,Worker,"1,553"
House Keeping Mechanical,1,Mechanical,UAE,Worker,"1,500"
HR & ADMIN Manager,1,HR,UAE,Staff,"25,000"
HR Executive,1,External Relationship,UAE,Staff,"7,000"
HR Executive,1,HR,UAE,Staff,"4,000"
HSE Officer,1,HSE,UAE,Staff,"4,000"
HSE Supervisor,1,HSE,UAE,Staff,"6,000"
Hydra Operator,1,Mechanical,UAE,Worker,"2,376"
Junior Engineer (Instrumentation),1,E & I,UAE,Staff,"5,840"
Junior IT Help Desk Support,1,IT,UAE,Staff,"3,300"
Lab Technician,2,QC,UAE,Staff,"3,000"
Loader Operator,1,Production,UAE,Worker,"1,980"
Marketing Coordinator,1,Sales & Logistics,UAE,Staff,"5,200"
Mason,5,Production,UAE,Worker,"2,216"
Mason,1,Mechanical,UAE,Worker,"2,100"
Mechanic,1,Mechanical,UAE,Worker,"2,400"
MTO,1,Mechanical,UAE,Worker,"2,865"
Office Boy,2,Admin,UAE,Worker,"1,400"
Packer Operator,11,Mechanical,UAE,Worker,"1,762"
Packing Plant Supervisor,1,Mechanical,UAE,Staff,"5,800"
Palletizer Operator,1,Mechanical,UAE,Worker,"1,800"
Planning & Inspection Engineer,1,Mechanical,UAE,Staff,"12,000"
Plant Coordinator,1,Georgia,UAE,Staff,"11,000"
Procurement Executive,1,Procurment,UAE,Staff,"3,000"
Production Incharge,1,Production,UAE,Staff,"8,300"
Pump House Operator,3,Mechanical,UAE,Worker,"1,867"
Purchase Agent,1,Procurment,UAE,Staff,"4,800"
Quality Control Manager,1,QC,UAE,Staff,"28,000"
Raw Materials Supervisor,1,Production,UAE,Staff,"9,700"
Rigger,11,Mechanical,UAE,Worker,"2,273"
Sales Coordinator,2,Sales & Logistics,UAE,Staff,"6,000"
Sales Executive,0,Sales & Logistics,UAE,Staff,"8,000"
sample Boy,7,QC,UAE,Worker,"1,686"
Security Guard,12,HSE,UAE,Worker,"1,767"
Security Manager,1,HSE,UAE,Staff,"14,758"
Security Supervisor,1,HSE,UAE,Staff,"4,000"
Senior Sales & Logistics,1,Sales & Logistics,UAE,Staff,"22,800"
Shovel Operator,1,Production,UAE,Worker,"2,200"
Stacker Operator,1,Production,UAE,Worker,"2,400"
Store House Man,1,Stores,UAE,Worker,"1,500"
Stores Assistant,1,Stores,UAE,Staff,"2,116"
Stores Officer,1,Stores,UAE,Staff,"6,000"
Technician,4,E & I,UAE,Worker,"2,361"
Tester / Gauger,2,QC,UAE,Staff,"2,285"
Transport Incharge,1,Admin,UAE,Staff,"13,135"
Truck Cum Shovel Operator,1,Production,UAE,Worker,"2,800"
Tyre Mechanic,1,Mechanical,UAE,Worker,"2,000"
Weigh Bridge Operator,7,Sales & Logistics / Procurement,UAE,Staff,"2,392"
Welder,7,Mechanical,UAE,Worker,"2,550"
WHR Operator,2,WHR,UAE,Staff,"3,750"
WHR Supervisor,1,WHR,UAE,Staff,"5,500"
Engineer (Instrumentation),3,E & I,UAE,Staff,"5,920"
Assistant Engineer (Mechanical),1,Mechanical,UAE,Staff,"6,359"
Truck Driver – Bulker,12,Sales & Logistics,UAE,Worker,"2,000"
Senior Engineer (Technical),1,Sales & Logistics,UAE,Staff,"10,000"
Sales Administrative Assistant,1,Sales & Logistics,UAE,Staff,"3,200"
Acting IT Manager,1,IT,UAE,Staff,"11,000"
Projects Manager,1,Projects,UAE,Staff,"16,000"
